1,2025-01-06,Lunch,374,user1
2,2025-01-10,Dinner,536,user1
3,2025-01-10,Breakfast,655,user3
4,2025-01-03,Breakfast,925,user2
5,2025-01-09,Breakfast,979,user1
6,2025-01-05,Snack,414,user1
7,2025-01-10,Dinner,473,user2
8,2025-01-13,Dinner,523,user2
9,2025-01-13,Dinner,736,user2
10,2025-01-01,Lunch,557,user2
11,2025-01-05,Lunch,943,user3
12,2025-01-11,Snack,793,user3
13,2025-01-09,Breakfast,588,user2
14,2025-01-14,Dinner,797,user3
15,2025-01-07,Lunch,429,user1
16,2025-01-01,Dinner,308,user1
17,2025-01-13,Snack,633,user3
18,2025-01-07,Breakfast,963,user2
19,2025-01-07,Dinner,660,user3
20,2025-01-09,Dinner,607,user3
21,2025-01-08,Snack,577,user3
22,2025-01-11,Snack,808,user3
23,2025-01-13,Dinner,404,user3
24,2025-01-13,Dinner,846,user3
25,2025-01-08,Breakfast,972,user2
26,2025-01-11,Snack,768,user1
27,2025-01-01,Dinner,335,user2
28,2025-01-03,Dinner,530,user2
29,2025-01-11,Dinner,583,user2
30,2025-01-09,Dinner,838,user1
31,2025-01-13,Breakfast,393,user3
32,2025-01-01,Breakfast,988,user3
33,2025-01-03,Snack,348,user3
34,2025-01-09,Lunch,483,user1
35,2025-01-03,Snack,523,user1
36,2025-01-14,Snack,414,user3
37,2025-01-13,Lunch,740,user3
38,2025-01-12,Dinner,695,user3
39,2025-01-05,Dinner,625,user1
40,2025-01-09,Breakfast,771,user2
41,2025-01-12,Breakfast,472,user2
42,2025-01-02,Dinner,621,user1
43,2025-01-01,Breakfast,319,user1
44,2025-01-06,Breakfast,645,user3
45,2025-01-10,Dinner,530,user3
